Rank,Player,Signed Age,Yrs,Value,AAV,Signing Bonus,Position
1,Mike Trout|2019-2030 (FA: 2031),27,12,426500000,35541667,20000000,CF
2,Mookie Betts|2020-2032 (FA: 2033),27,12,365000000,30416667,65000000,RF
3,Bryce Harper|2019-2031 (FA: 2032),26,13,330000000,25384615,20000000,RF
4,Giancarlo Stanton |2015-2027 (FA: 2029)Originally signed w/ MIA,25,13,325000000,25000000,0,DH
5,Gerrit Cole|2020-2028 (FA: 2029),29,9,324000000,36000000,0,SP
6,Manny Machado|2019-2028 (FA: 2029),26,10,300000000,30000000,20000000,3B
7,Nolan Arenado|2019-2026 (FA: 2027),27,8,260000000,32500000,0,3B
8,Miguel Cabrera|2016-2023 (FA: 2024),30,8,248000000,31000000,0,DH
9,Stephen Strasburg|2020-2026 (FA: 2027),31,7,245000000,35000000,0,SP
9,Anthony Rendon|2020-2026 (FA: 2027),29,7,245000000,35000000,4000000,3B
11,Robinson Cano|2014-2023 (FA: 2024)Originally signed w/ SEA,31,10,240000000,24000000,0,2B
11,Albert Pujols|2012-2021 (FA: 2022),31,10,240000000,24000000,0,DH
13,Joey Votto|2014-2024 (FA: 2025),28,10,225000000,22500000,0,1B
14,David Price|2016-2022 (FA: 2023)Originally signed w/ BOS,30,7,217000000,31000000,0,SP
15,Max Scherzer |2015-2021 (FA: 2022),30,7,210000000,30000000,50000000,SP
16,Zack Greinke|2016-2021 (FA: 2022)Originally signed w/ ARI,32,6,206500000,34416667,18000000,SP
17,Christian Yelich|2020-2029 (FA: 2030),28,7,188500000,26928571,0,LF
18,Jason Heyward|2016-2023 (FA: 2024),26,8,184000000,23000000,20000000,RF
19,Jose Altuve|2018-2024 (FA: 2025),27,7,163500000,23357143,21000000,2B
20,Chris Davis|2016-2022 (FA: 2023),29,7,161000000,23000000,0,1B
21,Buster Posey |2013-2022 (FA: 2023),26,8,159000000,19875000,7000000,C
22,Masahiro Tanaka|2014-2020 (FA: 2021),25,7,155000000,22142857,0,SP
23,Chris Sale|2019-2024 (FA: 2025),29,5,145000000,29000000,0,SP
24,Eric Hosmer|2018-2025 (FA: 2026),28,8,144000000,18000000,0,1B
25,Patrick Corbin|2019-2024 (FA: 2025),29,6,140000000,23333333,2500000,SP
26,Jacob deGrom|2019-2024 (FA: 2025),30,5,137500000,27500000,10000000,SP
27,Freddie Freeman|2014-2021 (FA: 2022),24,8,135000000,16875000,2875000,1B
28,Shin-Soo Choo|2014-2020 (FA: 2021),31,7,130000000,18571429,0,DH
28,Johnny Cueto|2016-2022 (FA: 2023),29,6,130000000,21666667,5000000,SP
28,Paul Goldschmidt|2020-2024 (FA: 2025),31,5,130000000,26000000,20000000,1B
31,Yu Darvish|2018-2023 (FA: 2024)Originally signed w/ CHC,31,6,126000000,21000000,0,SP
32,Elvis Andrus|2015-2023 (FA: 2024),24,8,120000000,15000000,2000000,SS
32,Xander Bogaerts|2019-2026 (FA: 2027),26,6,120000000,20000000,0,SS
34,Zack Wheeler|2020-2024 (FA: 2025),29,5,118000000,23600000,0,SP
35,Dustin Pedroia|2014-2021 (FA: 2022),29,8,110000000,13750000,1000000,2B
35,Jordan Zimmermann|2016-2020 (FA: 2021),29,5,110000000,22000000,0,SP
35,J.D. Martinez|2018-2022 (FA: 2023),30,5,110000000,22000000,0,DH
35,Yoenis Cespedes|2017-2020 (FA: 2021),31,4,110000000,27500000,0,LF
39,Charlie Blackmon|2018-2023 (FA: 2024),31,6,108000000,18000000,2000000,RF
40,Justin Upton|2018-2022 (FA: 2023),30,5,106000000,21200000,0,LF
41,Evan Longoria|2016-2022 (FA: 2024)Originally signed w/ TB,27,6,100000000,16666667,1000000,3B
41,Kyle Seager|2015-2022 (FA: 2023),27,7,100000000,14285714,3500000,3B
41,Alex Bregman|2019-2024 (FA: 2025),24,5,100000000,20000000,10000000,3B
41,Ronald Acuna |2019-2028 (FA: 2029),21,8,100000000,12500000,0,LF
45,Clayton Kershaw|2019-2021 (FA: 2022),30,3,93000000,31000000,23000000,SP
46,Josh Donaldson|2020-2024 (FA: 2025),34,4,92000000,23000000,0,3B
47,Madison Bumgarner|2020-2024 (FA: 2025),30,5,85000000,17000000,0,SP
48,Wil Myers|2017-2023 (FA: 2024),26,6,83000000,13833333,15000000,LF
49,Dexter Fowler|2017-2021 (FA: 2022),30,5,82500000,16500000,10000000,RF
