Rank,Player,Signed Age,Yrs,Value,AAV,Sign Bonus,Position
1,Giannis Antetokounmpo|2021-2025 (FA: 2026),26,5,228200826,45640165,-,PF
2,Russell Westbrook |2018-2022 (FA: 2023)Originally signed w/ OKC,28,5,206794070,41358814,-,PG
3,Rudy Gobert  |2021-2025 (FA: 2026),28,5,205000002,41000000,-,C
4,Stephen Curry |2017-2021 (FA: 2022),29,5,201158790,40231758,-,PG
5,Anthony Davis |2020-2024 (FA: 2025),27,5,189903600,37980720,-,PF
5,Klay Thompson|2019-2023 (FA: 2024),29,5,189903600,37980720,-,SG
7,Tobias Harris  |2019-2023 (FA: 2024),26,5,180000000,36000000,-,SF
8,Khris Middleton |2019-2023 (FA: 2024),27,5,177500000,35500000,-,SF
9,Ben Simmons |2020-2024 (FA: 2025),22,5,177243360,35448672,-,PG
10,Paul George|2021-2024 (FA: 2025),30,4,176265466,44066367,-,SG
10,Damian Lillard |2021-2024 (FA: 2025),30,4,176265466,44066367,-,PG
12,Blake Griffin |2017-2021 (FA: 2022)Originally signed w/ LAC,28,5,171174820,34234964,-,PF
13,James Harden |2019-2022 (FA: 2023),27,4,171131520,42782880,-,SG
13,John Wall |2019-2022 (FA: 2023)Originally signed w/ WAS,26,4,171131520,42782880,-,PG
15,Kevin Durant|2019-2022 (FA: 2023)Originally signed w/ GSW,30,4,164255700,41063925,-,SF
16,Bam Adebayo |2021-2025 (FA: 2026),23,5,163000590,32600118,-,PF
16,De'Aaron Fox |2021-2025 (FA: 2026),22,5,163000590,32600118,-,PG
16,Donovan Mitchell |2021-2025 (FA: 2026),24,5,163000590,32600118,-,SG
16,Jayson Tatum  |2021-2025 (FA: 2026),22,5,163000590,32600118,-,PF
20,Chris Paul |2018-2021 (FA: 2022)Originally signed w/ HOU,33,4,159730592,39932648,-,PG
21,Brandon Ingram |2020-2024 (FA: 2025),23,5,158253000,31650600,-,SF
21,Karl-Anthony Towns |2019-2023 (FA: 2024),22,5,158253000,31650600,-,T
21,Devin Booker|2019-2023 (FA: 2024),21,5,158253000,31650600,-,SG
21,Kristaps Porzingis |2019-2023 (FA: 2024),23,5,158253000,31650600,-,PF
21,Jamal Murray |2020-2024 (FA: 2025),22,5,158253000,31650600,-,PG
26,LeBron James |2018-2021 (FA: 0),33,4,153312846,38328212,-,SF
27,Mike Conley |2016-2020 (FA: 2021)Originally signed w/ MEM,28,5,152605578,30521116,-,PG
28,Andrew Wiggins |2018-2022 (FA: 2023)Originally signed w/ MIN,22,5,147710050,29542010,-,SF
28,Joel Embiid|2018-2022 (FA: 2023),23,5,147710050,29542010,-,C
28,Nikola Jokic|2018-2022 (FA: 2023),23,5,147710050,29542010,-,C
31,Kemba Walker |2019-2023 (FA: 2024)Originally signed w/ CHA,29,4,140790600,35197650,-,PG
